Presented in Figure 2 D and Figure S2 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current clamp recording in SOM INs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Number per 1st pulse (Figure 2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 Hz Paired Pulse Recordings in NDNF INs - Mean PSC Amplitude 1st peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDNF IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,145.2424,25.91499,84.74608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,746.2593,79.67945,368.0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,466.7168,135.6825,355.0976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,160.6295,48.96949,173.9333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,137.5356,63.71476,153.6358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,184.3402,66.2649,156.7058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,422.1409,167.223,334.1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,320.6046,151.5939,276.6286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,407.5411,92.82576,279.2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,343.4746,39.60384,294.9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,188.7024,51.7437,324.6019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
